PO_post_type,PO_number_comments,PO_numbr_likes,Year,Month,PO_hashtag,PO_tag_accounts,PO_description_Emoji,PO_description_Language_Freq,PO_clean_text,PO_Hobby,PO_Skincare_Treatment,PO_Work_Event,PO_Fitness,PO_Lifestyle_Health,PO_Shop_Business_Advertisement,PO_Beauty_Makeup,PO_Travel_Celebrations,PO_Food,PO_Life_Happiness,PO_dominant_topic,PO_neg,PO_neu,PO_pos,PO_compound,PRO_n_posts,PRO_followers,PRO_following,PRO_is_business_account,PRO_hashtag,PRO_tag_accounts,PRO_description_Emoji,PRO_description_Language_Freq,PRO_clean_text,PRO_neg,PRO_neu,PRO_pos,PRO_compound,LOC_aj_exact_city_match,LOC_aj_exact_country_match,LOC_lat,LOC_lng,neu,LOC_cd_Freq,LOC_slug_Freq,points,points_C,y_likes_pred,y_comments_pred
2,16.0,831.9839999999999,2021,5,1.0,0.0,1.0,1124.0,14.0,0.01,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,3,0.0,0.714,0.286,0.5859,1133.0,189844.0,73.0,0,1.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.32228,364.0,14.0
8,16.0,831.9839999999999,2020,8,3.0,0.0,1.0,1124.0,26.0,0.0,0.0,0.0,0.0,0.18,0.24,0.0,0.0,0.0,0.55,8,0.057,0.857,0.086,0.2023,1133.0,189844.0,73.0,0,3.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.28392,367.0,12.0
8,16.0,831.9839999999999,2021,7,0.0,0.0,1.0,1124.0,11.0,0.0,0.0,0.26,0.5,0.03,0.21,0.0,0.0,0.0,0.0,3,0.099,0.891,0.0,-0.0572,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25797,364.0,13.0
1,15.0,831.9839999999999,2023,2,0.0,1.0,1.0,1124.0,16.0,0.01,0.01,0.01,0.32,0.01,0.46,0.01,0.15,0.01,0.01,9,0.0,1.0,0.0,0.0,1133.0,189844.0,73.0,0,0.0,1.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26369,369.0,13.0
2,16.0,831.9839999999999,2023,4,3.0,0.0,1.0,1124.0,14.0,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.41,3,0.0,0.818,0.182,0.4404,1133.0,189844.0,73.0,0,3.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30773000000000006,363.0,13.0
8,16.0,831.9839999999999,2021,5,0.0,0.0,1.0,1124.0,19.0,0.0,0.0,0.0,0.53,0.0,0.36,0.08,0.0,0.0,0.0,3,0.099,0.615,0.193,-0.0,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26369,362.0,13.0
8,16.0,831.9839999999999,2021,7,0.0,0.0,1.0,1124.0,14.0,0.0,0.15,0.58,0.0,0.09,0.0,0.05,0.0,0.11,0.0,1,0.0,0.539,0.34832799999999997,0.8555,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34924,366.0,13.0
1,16.0,831.9839999999999,2021,2,2.0,0.0,1.0,1124.0,13.0,0.01,0.01,0.51,0.42,0.01,0.01,0.01,0.01,0.01,0.01,1,0.0,0.805,0.195,0.4404,1133.0,189844.0,73.0,0,2.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30773000000000006,369.0,13.0
2,15.0,831.9839999999999,2023,2,3.0,0.0,1.0,1124.0,13.0,0.0,0.0,0.0,0.76,0.0,0.22,0.0,0.0,0.0,0.0,3,0.0,0.903,0.097,0.0762,1133.0,189844.0,73.0,0,3.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.27131,360.0,13.0
1,8.0,831.9839999999999,2021,2,2.0,0.0,1.0,1124.0,10.0,0.18,0.0,0.0,0.18,0.17,0.4,0.0,0.0,0.06,0.0,9,0.0,0.891,0.109,0.0258,1133.0,189844.0,73.0,0,2.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1997025,341.0,7.0
