,PO_dominant_topic,PO_hashtags,Impressions
6755,Lifestyle_Health,#ad,4.336498865450878
6756,Lifestyle_Health,#queengotham,4.336498865450878
6757,Lifestyle_Health,#greenqueenbydeborahlindquist,4.336498865450878
6758,Lifestyle_Health,#sustainable,4.336498865450878
6759,Lifestyle_Health,#ecofriendly,4.336498865450878
6760,Lifestyle_Health,#plantbased,4.336498865450878
6761,Lifestyle_Health,#vegansofig,4.336498865450878
6762,Lifestyle_Health,#veganfoodshare,4.336498865450878
6763,Lifestyle_Health,#eco,4.336498865450878
6764,Lifestyle_Health,#sustainability,4.336498865450878
6765,Lifestyle_Health,#sustainablefashion,4.336498865450878
6766,Lifestyle_Health,#organic,4.336498865450878
6767,Lifestyle_Health,#vegetarian,4.336498865450878
6768,Lifestyle_Health,#ecofashion,4.336498865450878
6769,Lifestyle_Health,#govegan,4.336498865450878
6770,Lifestyle_Health,#crueltyfree,4.336498865450878
6771,Lifestyle_Health,#recycle,4.336498865450878
6772,Lifestyle_Health,#sustainableliving,4.336498865450878
6773,Lifestyle_Health,#veganism,4.336498865450878
6774,Lifestyle_Health,#reuse,4.336498865450878
6775,Lifestyle_Health,#ethicalfashion,4.336498865450878
6776,Lifestyle_Health,#ethical,4.336498865450878
6777,Lifestyle_Health,#upcycle,4.336498865450878
6778,Lifestyle_Health,#slowfashion,4.336498865450878
6779,Lifestyle_Health,#veganfoodporn,4.336498865450878
6780,Lifestyle_Health,#vegansofinstagram,4.336498865450878
6781,Lifestyle_Health,#sustainabledesign,4.336498865450878
6782,Lifestyle_Health,#recycled,4.336498865450878
6783,Lifestyle_Health,#zerowaste,4.336498865450878
6784,Lifestyle_Health,#veganlife,4.336498865450878
6785,Lifestyle_Health,#תוכורצוףאהבהנתראה,2.706062931696086
6786,Lifestyle_Health,#מופעהעשור,2.706062931696086
6787,Lifestyle_Health,#acnyveganmakeup,0.1309408341416101
6788,Lifestyle_Health,#acnyveganbeauty,0.1309408341416101
6789,Lifestyle_Health,#acnyveganhighlighter,0.1309408341416101
6790,Lifestyle_Health,#veganhighlighter,0.1309408341416101
6791,Lifestyle_Health,#shopnow,0.1309408341416101
6792,Lifestyle_Health,#veganglow,0.1309408341416101
6793,Lifestyle_Health,#veganmakeup,0.1309408341416101
6794,Lifestyle_Health,#veganproduct,0.1309408341416101
6795,Lifestyle_Health,#veganbrand,0.1309408341416101
6796,Lifestyle_Health,#crueltyfree,0.1309408341416101
6797,Lifestyle_Health,#crueltyfreeliving,0.1309408341416101
6798,Lifestyle_Health,#crueltyfreebrand,0.1309408341416101
6799,Lifestyle_Health,#ad,4.090679889066308
6800,Lifestyle_Health,#queengotham,4.090679889066308
6801,Lifestyle_Health,#greenqueenbydeborahlindquist,4.090679889066308
6802,Lifestyle_Health,#sustainable,4.090679889066308
6803,Lifestyle_Health,#ecofriendly,4.090679889066308
6804,Lifestyle_Health,#plantbased,4.090679889066308
6805,Lifestyle_Health,#vegansofig,4.090679889066308
6806,Lifestyle_Health,#veganfoodshare,4.090679889066308
6807,Lifestyle_Health,#eco,4.090679889066308
6808,Lifestyle_Health,#sustainability,4.090679889066308
6809,Lifestyle_Health,#sustainablefashion,4.090679889066308
6810,Lifestyle_Health,#organic,4.090679889066308
6811,Lifestyle_Health,#vegetarian,4.090679889066308
6812,Lifestyle_Health,#ecofashion,4.090679889066308
6813,Lifestyle_Health,#govegan,4.090679889066308
6814,Lifestyle_Health,#crueltyfree,4.090679889066308
6815,Lifestyle_Health,#recycle,4.090679889066308
6816,Lifestyle_Health,#sustainableliving,4.090679889066308
6817,Lifestyle_Health,#veganism,4.090679889066308
6818,Lifestyle_Health,#reuse,4.090679889066308
6819,Lifestyle_Health,#ethicalfashion,4.090679889066308
6820,Lifestyle_Health,#ethical,4.090679889066308
6821,Lifestyle_Health,#upcycle,4.090679889066308
6822,Lifestyle_Health,#slowfashion,4.090679889066308
6823,Lifestyle_Health,#veganfoodporn,4.090679889066308
6824,Lifestyle_Health,#vegansofinstagram,4.090679889066308
6825,Lifestyle_Health,#sustainabledesign,4.090679889066308
6826,Lifestyle_Health,#recycled,4.090679889066308
6827,Lifestyle_Health,#zerowaste,4.090679889066308
6828,Lifestyle_Health,#veganlife,4.090679889066308
7707,Lifestyle_Health,#silkcakes,0.39354962564791707
7708,Lifestyle_Health,#LeefEnLach,0.4719904648390942
7709,Lifestyle_Health,#OpHetLaatsteMoment,0.4719904648390942
7710,Lifestyle_Health,#Gezelligheid,0.4719904648390942
7711,Lifestyle_Health,#okinawa,3.5502958579881656
7712,Lifestyle_Health,#อ,3.5502958579881656
9045,Lifestyle_Health,#thelookoflove,1.9801980198019802
9046,Lifestyle_Health,#spring,11.636363636363637
9047,Lifestyle_Health,#trrghomes,4.887218045112782
9048,Lifestyle_Health,#westport,4.887218045112782
9049,Lifestyle_Health,#weston,4.887218045112782
